n,sigma,ratio_sigma_log2n
263786616,101,3.610393
263808090,79,2.823959
263829564,136,4.861478
263851038,117,4.182283
263872512,47,1.680056
263893986,147,5.254620
263915460,239,8.543189
263936934,117,4.182213
263958408,109,3.896234
263979882,128,4.575374
264001356,128,4.575355
264022830,136,4.861294
264044304,144,5.147231
264065778,163,5.826356
264087252,155,5.540376
264108726,117,4.182073
264130200,136,4.861193
264151674,136,4.861172
264173148,163,5.826233
264194622,174,6.219389
264216096,136,4.861111
264237570,136,4.861091
264259044,128,4.575125
264280518,79,2.823698
264301992,79,2.823686
264323466,128,4.575068
264344940,117,4.181880
264366414,147,5.254135
264387888,98,3.502742
264409362,98,3.502727
264430836,174,6.219102
264452310,136,4.860887
264473784,82,2.930817
264495258,79,2.823580
264516732,117,4.181740
264538206,258,9.221234
264559680,82,2.930768
264581154,117,4.181688
264602628,136,4.860745
264624102,220,7.862936
264645576,220,7.862903
264667050,117,4.181618
264688524,117,4.181600
264709998,144,5.146563
264731472,117,4.181565
264752946,155,5.539657
264774420,136,4.860582
264795894,136,4.860562
264817368,117,4.181495
264838842,82,2.930608
264860316,174,6.218582
264881790,98,3.502405
264903264,71,2.537446
264924738,98,3.502376
264946212,201,7.183414
264967686,136,4.860399
264989160,136,4.860379
265010634,63,2.251490
265032108,258,9.220347
265053582,109,3.895402
265075056,266,9.506170
265096530,128,4.574379
265118004,174,6.218270
265139478,63,2.251433
265160952,174,6.218218
265182426,109,3.895304
265203900,63,2.251405
265225374,220,7.862016
265246848,79,2.823167
265268322,117,4.181128
265289796,128,4.574207
265311270,239,8.540866
265332744,112,4.002398
265354218,117,4.181059
265375692,182,6.503842
265397166,98,3.502054
265418640,90,3.216159
265440114,136,4.859953
265461588,136,4.859932
265483062,182,6.503706
265504536,63,2.251273
265526010,128,4.573997
265547484,174,6.217751
265568958,182,6.503598
265590432,98,3.501923
265611906,98,3.501908
265633380,63,2.251217
265654854,98,3.501879
265676328,155,5.538663
265697802,117,4.180780
265719276,193,6.896471
265740750,155,5.538594
265762224,90,3.215944
265783698,136,4.859629
265805172,112,4.002030
265826646,182,6.503272
265848120,182,6.503245
265869594,155,5.538455
265891068,117,4.180623
265912542,201,7.182066
265934016,155,5.538386
265955490,144,5.145318
265976964,136,4.859447
265998438,136,4.859426
266019912,112,4.001864
266041386,128,4.573540
266062860,136,4.859366
266084334,128,4.573502
266105808,98,3.501573
266127282,71,2.536843
266148756,109,3.894574
266170230,98,3.501529
266191704,128,4.573407
266213178,228,8.146346
266234652,101,3.608674
266256126,101,3.608659
266277600,117,4.180310
266299074,112,4.001648
266320548,166,5.930989
266342022,98,3.501412
266363496,98,3.501398
266384970,136,4.859063
266406444,136,4.859042
266427918,79,2.822520
266449392,144,5.144826
266470866,163,5.823633
266492340,136,4.858962
266513814,98,3.501296
266535288,155,5.537741
266556762,182,6.502353
266578236,144,5.144698
266599710,79,2.822427
266621184,128,4.573026
266642658,128,4.573008
266664132,128,4.572989
266685606,112,4.001348
266707080,128,4.572951
266728554,79,2.822356
266750028,82,2.929522
266771502,98,3.501122
266792976,82,2.929498
266814450,82,2.929486
266835924,117,4.179859
266857398,82,2.929461
266878872,136,4.858599
266900346,82,2.929437
266921820,193,6.894866
266943294,112,4.001149
266964768,125,4.465550
266986242,117,4.179737
267007716,125,4.465513
267029190,79,2.822192
267050664,117,4.179685
267072138,117,4.179668
267093612,266,9.502454
267115086,98,3.500889
267136560,136,4.858357
267158034,155,5.537075
267179508,144,5.144100
267200982,128,4.572515
267222456,155,5.537006
267243930,125,4.465309
267265404,201,7.180188
267286878,98,3.500773
267308352,90,3.214983
267329826,128,4.572401
267351300,98,3.500730
267372774,128,4.572363
267394248,98,3.500701
267415722,98,3.500687
267437196,128,4.572306
267458670,128,4.572287
267480144,60,2.143251
267501618,136,4.858015
267523092,117,4.179305
267544566,147,5.250899
267566040,112,4.000669
267587514,136,4.857935
267608988,125,4.464995
267630462,98,3.500542
267651936,147,5.250791
267673410,128,4.572098
267694884,155,5.536502
267716358,98,3.500484
267737832,98,3.500469
267759306,117,4.179114
267780780,128,4.572004
267802254,201,7.179445
267823728,98,3.500411
267845202,98,3.500397
267866676,79,2.821737
267888150,79,2.821725
267909624,174,6.214914
267931098,155,5.536251
267952572,163,5.821969
267974046,174,6.214837
267995520,79,2.821667
268016994,98,3.500281
268038468,163,5.821873
268059942,98,3.500252
268081416,163,5.821824
268102890,101,3.607373
268124364,117,4.178821
268145838,98,3.500195
268167312,155,5.535999
268188786,63,2.250107
268210260,98,3.500151
268231734,117,4.178735
268253208,155,5.535908
268274682,182,6.500201
268296156,117,4.178683
268317630,182,6.500147
268339104,117,4.178649
268360578,125,4.464350
268382052,60,2.142879
268403526,136,4.857173
268425000,60,2.142861
268446474,182,6.499986
268467948,117,4.178545
268489422,182,6.499933
268510896,201,7.178467
268532370,201,7.178438
268553844,117,4.178476
268575318,163,5.821272
268596792,201,7.178349
268618266,98,3.499877
268639740,117,4.178408
268661214,182,6.499718
268682688,182,6.499692
268704162,98,3.499820
268725636,182,6.499638
268747110,79,2.821260
268768584,220,7.856641
268790058,155,5.535338
268811532,93,3.321189
268833006,155,5.535292
268854480,163,5.820961
268875954,109,3.892528
268897428,60,2.142667
268918902,117,4.178184
268940376,93,3.321107
268961850,93,3.321093
268983324,201,7.177817
269004798,220,7.856285
269026272,71,2.535427
269047746,125,4.463762
269069220,109,3.892384
269090694,174,6.213505
269112168,93,3.320998
269133642,79,2.821051
269155116,163,5.820626
269176590,79,2.821028
269198064,117,4.177961
269219538,125,4.463615
269241012,163,5.820530
269262486,163,5.820506
269283960,163,5.820482
269305434,155,5.534792
269326908,93,3.320861
269348382,93,3.320848
269369856,117,4.177823
269391330,71,2.535250
269412804,228,8.141333
269434278,109,3.892112
269455752,93,3.320779
269477226,136,4.856174
269498700,109,3.892064
269520174,136,4.856134
269541648,109,3.892032
269563122,266,9.497948
269584596,117,4.177652
269606070,109,3.891985
269627544,109,3.891969
269649018,182,6.498490
269670492,182,6.498463
269691966,277,9.890477
269713440,117,4.177549
269734914,98,3.499129
269756388,193,6.891114
269777862,109,3.891857
269799336,220,7.855092
269820810,109,3.891825
269842284,82,2.927783
269863758,163,5.819837
269885232,182,6.498197
269906706,201,7.176550
269928180,82,2.927735
269949654,82,2.927723
269971128,79,2.820600
269992602,79,2.820588
270014076,220,7.854770
270035550,93,3.320412
270057024,163,5.819623
270078498,93,3.320385
270099972,144,5.141220
270121446,147,5.248307
270142920,109,3.891586
270164394,60,2.142149
270185868,109,3.891554
270207342,93,3.320303
270228816,60,2.142122
270250290,93,3.320276
270271764,109,3.891490
270293238,182,6.497691
270314712,182,6.497664
270336186,90,3.213118
270357660,193,6.890324
270379134,93,3.320194
270400608,79,2.820369
270422082,93,3.320167
270443556,63,2.249136
270465030,93,3.320140
270486504,117,4.176933
270507978,63,2.249109
270529452,163,5.819099
270550926,266,9.496159
270572400,125,4.462463
270593874,163,5.819027
270615348,63,2.249063
270636822,182,6.497266
270658296,125,4.462390
270679770,163,5.818932
270701244,79,2.820207
270722718,98,3.498471
270744192,63,2.249008
270765666,117,4.176711
270787140,125,4.462280
270808614,163,5.818790
270830088,109,3.891077
270851562,125,4.462226
270873036,125,4.462207
270894510,79,2.820104
270915984,136,4.854842
270937458,79,2.820081
270958932,109,3.890981
270980406,109,3.890965
271001880,106,3.783859
271023354,117,4.176507
271044828,136,4.854723
271066302,125,4.462043
271087776,79,2.820000
271109250,79,2.819988
271130724,136,4.854644
271152198,136,4.854624
271173672,79,2.819954
271195146,128,4.569021
271216620,182,6.496550
271238094,128,4.568983
271259568,190,6.782057
271281042,79,2.819896
271302516,106,3.783643
271323990,125,4.461825
271345464,106,3.783612
271366938,79,2.819850
271388412,182,6.496338
271409886,136,4.854387
271431360,79,2.819816
271452834,128,4.568797
271474308,136,4.854327
271495782,155,5.532483
271517256,82,2.926850
271538730,144,5.139813
271560204,155,5.532415
271581678,136,4.854228
271603152,60,2.141563
271624626,136,4.854189
271646100,79,2.819701
271667574,117,4.175996
271689048,79,2.819678
271710522,155,5.532258
271731996,182,6.495915
271753470,106,3.783320
271774944,201,7.174001
271796418,174,6.210304
271817892,136,4.854011
271839366,106,3.783258
271860840,106,3.783243
271882314,79,2.819575
271903788,79,2.819564
271925262,163,5.817557
271946736,182,6.495650
271968210,79,2.819529
271989684,125,4.461262
272011158,79,2.819506
272032632,144,5.139332
272054106,106,3.783104
272075580,163,5.817391
272097054,163,5.817368
272118528,117,4.175640
272140002,60,2.141345
272161476,182,6.495387
272182950,136,4.853676
272204424,182,6.495334
272225898,79,2.819392
272247372,163,5.817202
272268846,79,2.819369
272290320,109,3.889999
272311794,220,7.851343
272333268,98,3.497402
272354742,79,2.819323
272376216,136,4.853498
272397690,90,3.211861
272419164,163,5.817013
272440638,136,4.853439
272462112,201,7.173069
272483586,106,3.782797
272505060,136,4.853380
272526534,155,5.531403
272548008,98,3.497260
272569482,163,5.816848
272590956,79,2.819197
272612430,163,5.816801
272633904,182,6.494807
272655378,79,2.819163
272676852,90,3.211691
272698326,106,3.782644
272719800,158,5.638257
272741274,155,5.531179
272762748,90,3.211639
272784222,90,3.211626
272805696,106,3.782567
272827170,74,2.640649
272848644,136,4.853065
272870118,74,2.640628
272891592,90,3.211561
272913066,74,2.640606
272934540,144,5.138456
272956014,174,6.208943
272977488,74,2.640574
272998962,106,3.782429
273020436,144,5.138373
273041910,247,8.813702
273063384,182,6.494280
273084858,163,5.816282
273106332,158,5.637846
273127806,136,4.852810
273149280,74,2.640489
273170754,106,3.782306
273192228,74,2.640467
273213702,163,5.816141
273235176,74,2.640446
273256650,106,3.782245
273278124,74,2.640425
273299598,74,2.640414
273321072,144,5.138082
273342546,125,4.460123
273364020,163,5.815976
273385494,163,5.815953
273406968,163,5.815929
273428442,109,3.889164
273449916,190,6.779249
273471390,90,3.211210
273492864,98,3.496637
273514338,98,3.496623
273535812,190,6.779140
273557286,98,3.496595
273578760,128,4.566963
273600234,163,5.815718
273621708,63,2.247784
273643182,163,5.815671
273664656,174,6.208114
273686130,106,3.781939
273707604,163,5.815600
273729078,106,3.781909
273750552,109,3.888928
273772026,106,3.781878
273793500,163,5.815507
273814974,190,6.778784
273836448,74,2.640147
273857922,125,4.459690
273879396,90,3.210964
273900870,163,5.815389
273922344,79,2.818490
273943818,190,6.778620
273965292,74,2.640083
273986766,163,5.815295
274008240,144,5.137418
274029714,163,5.815248
274051188,90,3.210860
274072662,90,3.210847
274094136,74,2.640019
274115610,90,3.210822
274137084,239,8.526481
274158558,128,4.566465
274180032,155,5.529681
274201506,163,5.815061
274222980,201,7.170690
274244454,182,6.492838
274265928,106,3.781528
274287402,90,3.210718
274308876,182,6.492759
274330350,106,3.781482
274351824,136,4.851693
274373298,125,4.459259
274394772,60,2.140436
274416246,79,2.818229
274437720,106,3.781406
274459194,90,3.210615
274480668,125,4.459169
274502142,182,6.492524
274523616,163,5.814709
274545090,144,5.136901
274566564,98,3.495932
274588038,106,3.781299
274609512,163,5.814616
274630986,163,5.814592
274652460,90,3.210498
274673934,90,3.210485
274695408,90,3.210472
274716882,106,3.781208
274738356,117,4.173581
274759830,117,4.173564
274781304,163,5.814429
274802778,209,7.455280
274824252,144,5.136632
274845726,106,3.781117
274867200,90,3.210369
274888674,171,6.099677
274910148,117,4.173446
274931622,144,5.136529
274953096,90,3.210317
274974570,144,5.136487
274996044,90,3.210292
275017518,90,3.210279
275038992,87,3.103257
275060466,163,5.814125
275081940,90,3.210240
275103414,109,3.887942
275124888,90,3.210214
275146362,90,3.210201
275167836,136,4.850952
275189310,182,6.491689
275210784,60,2.140108
275232258,125,4.458541
275253732,98,3.495482
275275206,117,4.173161
275296680,63,2.247078
275318154,63,2.247069
275339628,209,7.454532
275361102,125,4.458434
275382576,163,5.813775
275404050,163,5.813751
275425524,136,4.850718
275446998,98,3.495356
275468472,155,5.528347
275489946,163,5.813658
275511420,209,7.454292
275532894,255,9.094914
275554368,87,3.102958
275575842,87,3.102946
275597316,117,4.172910
275618790,163,5.813518
275640264,117,4.172877
275661738,163,5.813472
275683212,60,2.139920
275704686,117,4.172827
275726160,87,3.102859
275747634,144,5.135745
275769108,87,3.102834
275790582,174,6.205643
275812056,87,3.102809
275833530,163,5.813285
275855004,117,4.172710
275876478,163,5.813239
275897952,87,3.102759
275919426,139,4.957262
275940900,171,6.098478
275962374,125,4.457934
275983848,239,8.523535
276005322,163,5.813099
276026796,144,5.135478
276048270,163,5.813053
276069744,144,5.135437
276091218,90,3.209635
276112692,87,3.102635
276134166,182,6.490544
276155640,182,6.490518
276177114,182,6.490492
276198588,90,3.209571
276220062,87,3.102573
276241536,139,4.956964
276263010,155,5.527528
276284484,90,3.209520
276305958,139,4.956905
276327432,125,4.457631
276348906,182,6.490284
276370380,71,2.531914
276391854,182,6.490232
276413328,60,2.139628
276434802,144,5.135088
276456276,79,2.817155
276477750,228,8.130491
276499224,55,1.961295
276520698,171,6.097819
276542172,155,5.527241
276563646,209,7.452831
276585120,79,2.817087
276606594,87,3.102350
276628068,125,4.457381
276649542,87,3.102325
276671016,87,3.102313
276692490,106,3.779814
276713964,90,3.209263
276735438,106,3.779784
276756912,55,1.961201
276778386,163,5.812263
276799860,117,4.171976
276821334,228,8.129971
276842808,144,5.134698
276864282,90,3.209174
276885756,106,3.779678
276907230,190,6.774868
276928704,117,4.171876
276950178,125,4.457114
276971652,163,5.812054
276993126,163,5.812031
277014600,106,3.779588
277036074,125,4.457043
277057548,155,5.526712
277079022,163,5.811938
277100496,144,5.134452
277121970,144,5.134432
277143444,90,3.209007
277164918,144,5.134391
277186392,182,6.489274
277207866,106,3.779452
277229340,139,4.956054
277250814,106,3.779422
277272288,171,6.096968
277293762,144,5.134268
277315236,144,5.134248
277336710,182,6.489093
277358184,55,1.960982
277379658,87,3.101904
277401132,155,5.526359
277422606,182,6.488990
277444080,71,2.531409
277465554,163,5.811521
277487028,90,3.208803
277508502,182,6.488886
277529976,182,6.488860
277551450,106,3.779211
277572924,106,3.779196
277594398,171,6.096604
277615872,71,2.531328
277637346,152,5.419160
277658820,144,5.133921
277680294,125,4.456511
277701768,228,8.128643
277723242,87,3.101707
277744716,247,8.805960
277766190,87,3.101682
277787664,55,1.960826
277809138,182,6.488525
277830612,163,5.811128
277852086,87,3.101633
277873560,125,4.456351
277895034,125,4.456334
277916508,87,3.101596
277937982,163,5.811013
277959456,87,3.101571
277980930,182,6.488319
278002404,136,4.848395
278023878,55,1.960740
278045352,163,5.810897
278066826,163,5.810874
278088300,125,4.456174
278109774,171,6.096022
278131248,87,3.101473
278152722,125,4.456121
278174196,228,8.127933
278195670,87,3.101436
278217144,87,3.101423
278238618,163,5.810690
278260092,125,4.456033
278281566,136,4.848144
278303040,144,5.133309
278324514,144,5.133289
278345988,144,5.133268
278367462,144,5.133248
278388936,144,5.133227
278410410,87,3.101313
278431884,87,3.101300
278453358,182,6.487752
278474832,71,2.530926
278496306,87,3.101263
278517780,87,3.101251
278539254,90,3.208178
278560728,144,5.133065
278582202,87,3.101214
278603676,144,5.133024
278625150,125,4.455732
278646624,90,3.208115
278668098,144,5.132963
278689572,125,4.455679
278711046,87,3.101140
278732520,125,4.455644
278753994,144,5.132882
278775468,125,4.455609
278796942,79,2.815934
278818416,209,7.449719
278839890,79,2.815911
278861364,144,5.132780
278882838,125,4.455520
278904312,152,5.417891
278925786,144,5.132719
278947260,125,4.455468
278968734,144,5.132678
278990208,106,3.778207
279011682,106,3.778192
279033156,144,5.132617
279054630,209,7.449394
279076104,106,3.778147
279097578,125,4.455344
279119052,125,4.455326
279140526,144,5.132516
279162000,106,3.778087
279183474,144,5.132475
279204948,79,2.815722
279226422,236,8.411490
279247896,106,3.778027
279269370,182,6.486776
279290844,209,7.449070
279312318,190,6.771855
279333792,125,4.455150
279355266,98,3.492824
279376740,98,3.492810
279398214,98,3.492796
279419688,106,3.777908
279441162,120,4.276860
279462636,144,5.132211
279484110,106,3.777863
279505584,120,4.276809
279527058,98,3.492714
279548532,117,4.169856
279570006,117,4.169839
279591480,136,4.846974
279612954,98,3.492658
279634428,201,7.163485
279655902,190,6.771427
279677376,68,2.423449
279698850,106,3.777714
279720324,144,5.131968
279741798,71,2.530335
279763272,106,3.777669
279784746,190,6.771267
279806220,71,2.530306
279827694,125,4.454746
279849168,171,6.094068
279870642,144,5.131826
279892116,163,5.808920
279913590,201,7.163118
279935064,120,4.276471
279956538,144,5.131746
279978012,117,4.169527
279999486,98,3.492410
280020960,125,4.454588
280042434,120,4.276387
280063908,163,5.808736
280085382,190,6.770893
280106856,117,4.169428
280128330,120,4.276320
280149804,144,5.131563
280171278,163,5.808622
280192752,120,4.276269
280214226,117,4.169346
280235700,209,7.447777
280257174,117,4.169313
280278648,190,6.770653
280300122,68,2.423171
280321596,136,4.846324
280343070,106,3.777267
280364544,52,1.852992
280386018,136,4.846267
280407492,174,6.200346
280428966,106,3.777207
280450440,136,4.846209
280471914,71,2.529996
280493388,109,3.884064
280514862,144,5.131220
280536336,106,3.777133
280557810,109,3.884018
280579284,144,5.131159
280600758,152,5.416202
280622232,87,3.100051
280643706,87,3.100039
280665180,136,4.846019
280686654,152,5.416117
280708128,87,3.100002
280729602,68,2.422981
280751076,144,5.130998
280772550,163,5.807982
280794024,144,5.130958
280815498,106,3.776940
280836972,120,4.275764
280858446,209,7.446927
280879920,220,7.838840
280901394,120,4.275714
280922868,152,5.415883
280944342,87,3.099868
280965816,87,3.099856
280987290,71,2.529758
281008764,106,3.776806
281030238,90,3.206710
281051712,68,2.422838
281073186,106,3.776762
281094660,90,3.206672
281116134,90,3.206659
281137608,152,5.415670
281159082,52,1.852722
281180556,163,5.807548
281202030,136,4.845543
281223504,163,5.807503
281244978,106,3.776643
281266452,106,3.776628
281287926,144,5.130494
281309400,87,3.099661
281330874,125,4.453519
281352348,163,5.807366
281373822,144,5.130414
281395296,144,5.130393
281416770,144,5.130373
281438244,144,5.130353
281459718,133,4.738433
281481192,144,5.130313
281502666,133,4.738395
281524140,152,5.415288
281545614,106,3.776436
281567088,152,5.415245
281588562,106,3.776406
281610036,144,5.130192
281631510,133,4.738284
281652984,133,4.738265
281674458,90,3.206332
281695932,90,3.206320
281717406,136,4.845087
281738880,125,4.453187
281760354,106,3.776288
281781828,133,4.738154
281803302,190,6.768765
281824776,68,2.422496
281846250,209,7.445583
281867724,106,3.776214
281889198,120,4.274943
281910672,117,4.168053
281932146,106,3.776170
281953620,133,4.738006
281975094,144,5.129851
281996568,133,4.737969
282018042,144,5.129811
282039516,247,8.799016
282060990,106,3.776081
282082464,106,3.776066
282103938,152,5.414715
282125412,125,4.452873
282146886,106,3.776022
282168360,87,3.099176
282189834,144,5.129650
282211308,117,4.167824
282232782,163,5.806433
282254256,117,4.167792
282275730,117,4.167775
282297204,106,3.775919
282318678,71,2.529143
282340152,106,3.775889
282361626,106,3.775874
282383100,182,6.483080
282404574,106,3.775845
282426048,106,3.775830
282447522,125,4.452612
282468996,71,2.529074
282490470,106,3.775786
282511944,144,5.129349
282533418,71,2.529044
282554892,71,2.529034
282576366,106,3.775727
282597840,106,3.775712
282619314,190,6.767759
282640788,106,3.775683
282662262,60,2.137170
282683736,144,5.129189
282705210,171,6.090888
282726684,125,4.452386
282748158,133,4.737320
282769632,144,5.129109
282791106,68,2.422070
282812580,190,6.767521
282834054,125,4.452299
282855528,87,3.098788
282877002,185,6.589352
282898476,163,5.805730
282919950,106,3.775491
282941424,171,6.090627
282962898,106,3.775462
282984372,106,3.775447
283005846,87,3.098704
283027320,163,5.805595
283048794,87,3.098680
283070268,125,4.452108
283091742,136,4.843875
283113216,171,6.090437
283134690,190,6.767126
283156164,144,5.128749
283177638,171,6.090366
283199112,133,4.736933
283220586,79,2.813656
283242060,171,6.090294
283263534,87,3.098559
283285008,68,2.421853
283306482,79,2.813612
283327956,79,2.813601
283349430,201,7.158628
283370904,79,2.813579
283392378,209,7.443490
283413852,133,4.736748
283435326,101,3.597065
283456800,101,3.597051
283478274,133,4.736693
283499748,125,4.451762
283521222,106,3.775079
283542696,87,3.098402
283564170,171,6.089939
283585644,117,4.166784
283607118,171,6.089891
283628592,163,5.804962
283650066,117,4.166735
283671540,125,4.451623
283693014,133,4.736508
283714488,87,3.098306
283735962,144,5.128210
283757436,133,4.736453
283778910,144,5.128170
283800384,125,4.451519
283821858,101,3.596814
283843332,125,4.451485
283864806,163,5.804713
283886280,144,5.128070
283907754,87,3.098197
283929228,163,5.804646
283950702,274,9.757465
283972176,125,4.451381
283993650,101,3.596702
284015124,101,3.596688
284036598,117,4.166444
284058072,133,4.736196
284079546,125,4.451294
284101020,190,6.765941
284122494,133,4.736140
284143968,101,3.596604
284165442,106,3.774639
284186916,117,4.166331
284208390,117,4.166314
284229864,117,4.166298
284251338,185,6.587711
284272812,60,2.136547
284294286,87,3.097981
284315760,125,4.451104
284337234,133,4.735957
284358708,60,2.136513
284380182,87,3.097933
284401656,155,5.519284
284423130,101,3.596422
284444604,209,7.442073
284466078,190,6.765495
284487552,133,4.735828
284509026,117,4.166088
284530500,87,3.097848
284551974,125,4.450914
284573448,117,4.166040
284594922,125,4.450880
284616396,125,4.450863
284637870,144,5.127374
284659344,125,4.450828
284680818,190,6.765233
284702292,133,4.735644
284723766,133,4.735626
284745240,125,4.450759
284766714,171,6.088615
284788188,190,6.765101
284809662,117,4.165862
284831136,228,8.118059
284852610,101,3.596144
284874084,125,4.450656
284895558,101,3.596116
284917032,155,5.518770
284938506,125,4.450604
284959980,71,2.527933
284981454,101,3.596060
285002928,87,3.097584
285024402,209,7.441295
285045876,117,4.165685
285067350,71,2.527884
285088824,114,4.058841
285110298,125,4.450466
285131772,87,3.097513
285153246,190,6.764656
285174720,182,6.479804
285196194,190,6.764604
285217668,198,7.049402
285239142,125,4.450363
285260616,125,4.450346
285282090,87,3.097429
285303564,117,4.165491
285325038,68,2.420960
285346512,114,4.058653
285367986,190,6.764395
285389460,114,4.058621
285410934,133,4.735040
285432408,117,4.165395
285453882,117,4.165379
285475356,117,4.165363
285496830,190,6.764238
285518304,144,5.126561
285539778,71,2.527669
285561252,117,4.165298
285582726,144,5.126501
285604200,87,3.097249
285625674,144,5.126462
285647148,87,3.097225
285668622,87,3.097213
285690096,117,4.165202
285711570,190,6.763977
285733044,209,7.440346
285754518,87,3.097165
285775992,114,4.058339
285797466,114,4.058323
285818940,114,4.058308
285840414,133,4.734674
285861888,125,4.449864
285883362,198,7.048558
285904836,125,4.449830
285926310,87,3.097070
285947784,87,3.097058
285969258,163,5.802511
285990732,198,7.048422
286012206,117,4.164961
286033680,87,3.097010
286055154,171,6.087203
286076628,68,2.420633
286098102,117,4.164896
286119576,68,2.420614
286141050,144,5.125987
286162524,87,3.096938
286183998,87,3.096927
286205472,87,3.096915
286226946,163,5.802243
286248420,144,5.125888
286269894,87,3.096879
286291368,87,3.096867
286312842,117,4.164736
286334316,87,3.096843
286355790,236,8.400599
286377264,114,4.057901
286398738,190,6.763142
286420212,190,6.763116
286441686,87,3.096783
286463160,87,3.096772
286484634,171,6.086734
286506108,144,5.125651
286527582,152,5.410389
286549056,52,1.850915
286570530,114,4.057760
286592004,144,5.125572
286613478,152,5.410306
286634952,171,6.086570
286656426,106,3.772947
286677900,68,2.420372
286699374,87,3.096640
286720848,171,6.086477
286742322,190,6.762726
286763796,190,6.762700
286785270,171,6.086407
286806744,171,6.086383
286828218,87,3.096569
286849692,87,3.096557
286871166,152,5.410056
286892640,228,8.115053
286914114,171,6.086266
286935588,217,7.723478
286957062,171,6.086219
286978536,171,6.086196
287000010,144,5.125198
287021484,171,6.086149
287042958,144,5.125159
287064432,82,2.918482
287085906,228,8.114772
287107380,152,5.409827
287128854,98,3.487902
287150328,106,3.772614
287171802,166,5.908033
287193276,171,6.085962
287214750,190,6.762154
287236224,82,2.918392
287257698,87,3.096331
287279172,114,4.057246
287300646,114,4.057230
287322120,82,2.918347
287343594,255,9.075314
287365068,82,2.918325
287386542,125,4.448649
287408016,98,3.487728
287429490,125,4.448615
287450964,98,3.487701
287472438,152,5.409474
287493912,152,5.409454
287515386,114,4.057075
287536860,98,3.487647
287558334,87,3.096165
287579808,152,5.409371
287601282,144,5.124647
287622756,60,2.135262
287644230,60,2.135253
287665704,82,2.918168
287687178,144,5.124569
287708652,117,4.163696
287730126,182,6.476836
287751600,144,5.124510
287773074,125,4.448342
287794548,125,4.448325
287816022,144,5.124451
287837496,171,6.085262
287858970,98,3.487447
287880444,190,6.761351
287901918,171,6.085192
287923392,171,6.085169
287944866,171,6.085146
287966340,171,6.085122
287987814,171,6.085099
288009288,171,6.085076
288030762,171,6.085052
288052236,133,4.732800
288073710,144,5.124215
288095184,144,5.124196
288116658,68,2.419750
288138132,136,4.839481
288159606,198,7.045688
288181080,114,4.056593
288202554,71,2.526465
288224028,171,6.084843
288245502,198,7.045581
288266976,133,4.732619
288288450,136,4.839352
288309924,152,5.408667
288331398,171,6.084727
288352872,209,7.436860
288374346,71,2.526388
288395820,171,6.084657
288417294,114,4.056422
288438768,98,3.487087
288460242,152,5.408522
288481716,98,3.487060
288503190,133,4.732420
288524664,274,9.749460
288546138,68,2.419565
288567612,87,3.095608
288589086,68,2.419546
288610560,68,2.419537
288632034,98,3.486967
288653508,68,2.419519
288674982,171,6.084355
288696456,82,2.917633
288717930,125,4.447594
288739404,82,2.917610
288760878,98,3.486887
288782352,98,3.486873
288803826,98,3.486860
288825300,82,2.917566
288846774,114,4.056113
288868248,114,4.056097
288889722,106,3.771444
288911196,182,6.475474
288932670,182,6.475449
288954144,68,2.419389
288975618,166,5.906134
288997092,171,6.084006
289018566,144,5.123354
289040040,133,4.731969
289061514,114,4.055958
289082988,152,5.407923
289104462,182,6.475252
289125936,114,4.055911
289147410,152,5.407861
289168884,87,3.095277
289190358,152,5.407820
289211832,171,6.083774
289233306,68,2.419269
289254780,171,6.083728
289276254,114,4.055803
289297728,95,3.379823
289319202,171,6.083658
289340676,106,3.771142
289362150,163,5.798999
289383624,125,4.447068
289405098,95,3.379759
289426572,125,4.447034
289448046,125,4.447017
289469520,152,5.407552
289490994,95,3.379707
289512468,98,3.486422
289533942,171,6.083427
289555416,125,4.446932
289576890,98,3.486382
289598364,179,6.367959
289619838,152,5.407408
289641312,179,6.367910
289662786,114,4.055525
289684260,152,5.407346
289705734,179,6.367838
289727208,95,3.379566
289748682,68,2.419048
289770156,98,3.486262
289791630,125,4.446746
289813104,117,4.162139
289834578,98,3.486223
289856052,68,2.419002
289877526,144,5.122574
289899000,152,5.407141
289920474,98,3.486170
289941948,106,3.770741
289963422,133,4.731194
289984896,71,2.525666
290006370,98,3.486117
290027844,95,3.379386
290049318,144,5.122418
290070792,125,4.446527
290092266,171,6.082825
290113740,236,8.394979
290135214,133,4.731050
290156688,117,4.161886
290178162,95,3.379296
290199636,95,3.379283
290221110,133,4.730979
290242584,95,3.379258
290264058,217,7.718906
290285532,209,7.434310
290307006,217,7.718848
290328480,95,3.379206
290349954,87,3.094630
290371428,171,6.082525
290392902,125,4.446273
290414376,171,6.082479
290435850,171,6.082456
290457324,114,4.054955
290478798,231,8.216589
290500272,87,3.094548
290521746,152,5.406545
290543220,125,4.446155
290564694,152,5.406504
290586168,152,5.406484
290607642,87,3.094489
290629116,171,6.082248
290650590,147,5.228580
290672064,95,3.379001
290693538,152,5.406381
290715012,133,4.730566
290736486,171,6.082133
290757960,95,3.378950
290779434,68,2.418608
290800908,171,6.082064
290822382,152,5.406258
290843856,79,2.809821
290865330,95,3.378886
290886804,171,6.081972
290908278,171,6.081949
290929752,190,6.757695
290951226,190,6.757669
290972700,125,4.445818
290994174,247,8.784904
291015648,98,3.485495
291037122,179,6.366340
291058596,152,5.406033
