n,sigma,ratio_sigma_log2n
6313356,110,4.869416
6334830,118,5.222423
6356304,72,3.185875
6377778,91,4.025725
6399252,137,6.059407
6420726,99,4.377760
6442200,156,6.896819
6463674,80,3.536080
6485148,48,2.121199
6506622,156,6.892445
6528096,91,4.019749
6549570,118,5.211331
6571044,110,4.857007
6592518,126,5.562325
6613992,118,5.208083
6635466,164,7.236859
6656940,94,4.147103
6678414,126,5.557743
6699888,118,5.203807
6721362,145,6.393207
6742836,53,2.336353
6764310,164,7.228009
6785784,88,3.877663
6807258,88,3.876884
6828732,72,3.171361
6850206,145,6.385495
6871680,72,3.170098
6893154,107,4.710184
6914628,126,5.545477
6936102,126,5.544385
6957576,137,6.027236
6979050,107,4.706483
7000524,107,4.705565
7021998,88,3.869246
7043472,126,5.538984
7064946,88,3.867750
7086420,153,6.723317
7107894,83,3.646590
7129368,69,3.030923
7150842,126,5.533674
7172316,88,3.864054
7193790,80,3.512111
7215264,50,2.194655
7236738,88,3.861867
7258212,107,4.694798
7279686,134,5.878367
7301160,88,3.859701
7322634,172,7.542559
7344108,134,5.875091
7365582,172,7.539770
7387056,134,5.872925
7408530,61,2.673005
7430004,96,4.205927
7451478,180,7.884675
7472952,69,3.021909
7494426,107,4.685300
7515900,77,3.371055
7537374,134,5.865454
7558848,58,2.538323
7580322,96,4.200609
7601796,88,3.849871
7623270,104,4.549038
7644744,58,2.536513
7666218,58,2.536064
7687692,53,2.317029
7709166,142,6.206797
7730640,85,3.714685
7752114,42,1.835170
7773588,58,2.533841
7795062,142,6.202464
7816536,142,6.201388
7838010,142,6.200317
7859484,85,3.710818
7880958,99,4.321268
7902432,85,3.709544
7923906,142,6.196063
7945380,96,4.188174
7966854,85,3.707649
7988328,104,4.535649
8009802,150,6.540697
8031276,112,4.882898
8052750,123,5.361568
8074224,85,3.704528
8095698,131,5.708378
8117172,77,3.354748
8138646,112,4.878823
8160120,150,6.533056
8181594,131,5.704593
8203068,74,3.221911
8224542,150,6.529829
8246016,42,1.828053
8267490,77,3.350883
8288964,74,3.219805
8310438,150,6.525571
8331912,123,5.350102
8353386,85,3.696628
8374860,74,3.217722
8396334,177,7.695208
8417808,112,4.868504
8439282,158,6.866971
8460756,58,2.520385
8482230,74,3.215153
8503704,112,4.865406
8525178,101,4.386861
8546652,93,4.038750
8568126,150,6.513089
8589600,85,3.690172
8611074,82,3.559374
8632548,134,5.815630
8654022,112,4.860069
8675496,66,2.863525
8696970,139,6.029824
8718444,101,4.380707
8739918,63,2.732100
8761392,47,2.037920
8782866,63,2.731262
8804340,120,5.201609
8825814,101,4.377354
8847288,166,7.193370
8868762,120,5.199239
8890236,128,5.545017
8911710,177,7.666562
8933184,120,5.196888
8954658,47,2.035142
8976132,77,3.333671
8997606,166,7.185802
9019080,63,2.726736
9040554,90,3.894758
9062028,66,2.855733
9083502,90,3.893606
9104976,82,3.546985
9126450,185,8.001169
9147924,90,3.891890
9169398,90,3.891321
9190872,109,4.712134
9212346,109,4.711448
9233820,109,4.710764
9255294,155,6.697823
9276768,139,6.005567
9298242,109,4.708723
9319716,90,3.887378
9341190,147,6.348473
9362664,90,3.886264
9384138,120,5.180946
9405612,109,4.705356
9427086,90,3.884605
9448560,147,6.343956
9470034,147,6.343059
9491508,117,5.047845
9512982,117,5.047135
9534456,128,5.520878
9555930,98,4.226330
9577404,174,7.502845
9598878,90,3.880241
9620352,52,2.241606
9641826,52,2.241295
9663300,155,6.679858
9684774,79,3.404103
9706248,79,3.403635
9727722,47,2.024669
9749196,47,2.024392
9770670,155,6.675272
9792144,79,3.401772
9813618,174,7.491490
9835092,182,7.834863
9856566,128,5.509487
9878040,117,5.035335
9899514,63,2.710969
9920988,117,5.033979
9942462,155,6.668051
9963936,79,3.398100
9985410,90,3.870736
10006884,79,3.397193
10028358,144,6.191529
10049832,117,5.029950
10071306,136,5.846006
10092780,158,6.790786
10114254,136,5.844463
10135728,106,4.554645
10157202,90,3.866644
10178676,87,3.737266
10200150,117,5.025323
10221624,87,3.736291
10243098,60,2.576418
10264572,106,4.551081
10286046,87,3.734838
10307520,87,3.734355
10328994,71,3.047185
10350468,60,2.574754
10371942,125,5.363384
10393416,136,5.834614
10414890,87,3.731960
10436364,133,5.704454
10457838,163,6.990284
10479312,98,4.202214
10500786,106,4.544676
10522260,52,2.229182
10543734,87,3.729123
10565208,125,5.357261
10586682,117,5.013767
10608156,152,6.512796
10629630,209,8.953975
10651104,152,6.511170
10672578,198,8.480600
10694052,144,6.166943
10715526,171,7.322337
10737000,125,5.351924
10758474,87,3.724479
10779948,79,3.381582
10801422,63,2.696373
10822896,79,3.380752
10844370,95,4.064964
10865844,79,3.379925
10887318,106,4.534537
10908792,133,5.688869
10930266,68,2.908242
10951740,79,3.378283
10973214,171,7.311603
10994688,60,2.565166
11016162,76,3.248819
11037636,106,4.530703
11059110,109,4.658372
11080584,133,5.683389
11102058,95,4.059079
11123532,133,5.682034
11145006,57,2.434868
11166480,114,4.869158
11187954,60,2.562411
11209428,87,3.715058
11230902,106,4.525859
11252376,179,7.641824
11273850,76,3.244192
11295324,76,3.243812
11316798,76,3.243433
11338272,76,3.243054
11359746,179,7.637357
11381220,106,4.522155
11402694,103,4.393660
11424168,114,4.862323
11445642,114,4.861761
11467116,57,2.430600
11488590,84,3.581525
11510064,57,2.430041
11531538,84,3.580703
11553012,68,2.898333
11574486,52,2.216119
11595960,141,6.008407
11617434,68,2.897342
11638908,179,7.625961
11660382,141,6.006361
11681856,49,2.087081
11703330,122,5.195819
11724804,141,6.004328
11746278,114,4.854017
11767752,103,4.385155
11789226,95,4.044108
11810700,122,5.192906
11832174,122,5.192326
11853648,84,3.574646
11875122,84,3.574249
11896596,103,4.382224
11918070,87,3.701081
11939544,49,2.084286
11961018,141,5.996979
11982492,65,2.764261
12003966,141,5.995661
12025440,65,2.763654
12046914,111,4.718954
12068388,92,3.910778
12089862,141,5.993039
12111336,84,3.569933
12132810,122,5.184339
12154284,130,5.523697
12175758,49,2.081784
12197232,92,3.908233
12218706,111,4.714860
12240180,130,5.521314
12261654,130,5.520721
12283128,149,6.326917
12304602,73,3.099433
12326076,73,3.099102
12347550,65,2.759180
12369024,111,4.711330
12390498,76,3.225433
12411972,57,2.418818
12433446,73,3.097457
12454920,149,6.321538
12476394,92,3.902820
12497868,122,5.174934
12519342,130,5.513695
12540816,54,2.290064
12562290,103,4.367628
12583764,73,3.095180
12605238,157,6.656062
12626712,111,4.705388
12648186,73,3.094213
12669660,119,5.043468
12691134,119,5.042946
12712608,73,3.093252
12734082,73,3.092933
12755556,92,3.897542
12777030,157,6.650556
12798504,138,5.845112
12819978,92,3.896342
12841452,100,4.234721
12862926,100,4.234289
12884400,157,6.647156
12905874,111,4.699104
12927348,81,3.428728
12948822,138,5.840944
12970296,49,2.073749
12991770,54,2.285125
13013244,157,6.643119
13034718,146,6.177056
13056192,92,3.892000
